[INFO 21:17:51] miguelsolorio.symbols activated
[INFO 21:17:51] symbols.hidesExplorerArrows changed, updating to false
[INFO 21:17:51] symbols.folders.associations changed, updating to undefined
[INFO 21:17:51] symbols.files.associations changed, updating to undefined
[INFO 21:17:52] symbols.hidesExplorerArrows changed, updating to false
[INFO 21:17:52] symbols.folders.associations changed, updating to undefined
[INFO 21:17:52] symbols.files.associations changed, updating to undefined
[INFO 21:17:53] symbols.hidesExplorerArrows changed, updating to false
[INFO 21:17:53] symbols.folders.associations changed, updating to undefined
[INFO 21:17:53] symbols.files.associations changed, updating to undefined
[INFO 21:17:53] symbols.hidesExplorerArrows changed, updating to false
[INFO 21:17:53] symbols.folders.associations changed, updating to undefined
[INFO 21:17:53] symbols.files.associations changed, updating to undefined
[INFO 21:18:21] symbols.hidesExplorerArrows changed, updating to false
[INFO 21:18:21] symbols.folders.associations changed, updating to undefined
[INFO 21:18:21] symbols.files.associations changed, updating to undefined
[INFO 21:19:04] symbols.hidesExplorerArrows changed, updating to false
[INFO 21:19:04] symbols.folders.associations changed, updating to undefined
[INFO 21:19:04] symbols.files.associations changed, updating to undefined
[INFO 21:19:41] symbols.hidesExplorerArrows changed, updating to false
[INFO 21:19:41] symbols.folders.associations changed, updating to undefined
[INFO 21:19:41] symbols.files.associations changed, updating to undefined
[INFO 21:19:46] symbols.hidesExplorerArrows changed, updating to false
[INFO 21:19:46] symbols.folders.associations changed, updating to undefined
[INFO 21:19:46] symbols.files.associations changed, updating to undefined
[INFO 21:19:51] symbols.hidesExplorerArrows changed, updating to false
[INFO 21:19:51] symbols.folders.associations changed, updating to undefined
[INFO 21:19:51] symbols.files.associations changed, updating to undefined
[INFO 21:19:57] symbols.hidesExplorerArrows changed, updating to false
[INFO 21:19:57] symbols.folders.associations changed, updating to undefined
[INFO 21:19:57] symbols.files.associations changed, updating to undefined
[INFO 21:20:00] symbols.hidesExplorerArrows changed, updating to false
[INFO 21:20:00] symbols.folders.associations changed, updating to undefined
[INFO 21:20:00] symbols.files.associations changed, updating to undefined
[INFO 21:20:28] symbols.hidesExplorerArrows changed, updating to false
[INFO 21:20:28] symbols.folders.associations changed, updating to undefined
[INFO 21:20:28] symbols.files.associations changed, updating to undefined
