[INFO 00:35:20] miguelsolorio.symbols activated
[INFO 00:35:20] 🤖 symbols.defaultAssociations changed, updating to true
[INFO 00:35:20] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 00:35:20] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 00:35:20] 🤖 symbols.files.associations changed, updating to undefined
[INFO 00:35:22] 🤖 symbols.defaultAssociations changed, updating to true
[INFO 00:35:22] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 00:35:22] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 00:35:22] 🤖 symbols.files.associations changed, updating to undefined
[INFO 00:35:23] 🤖 symbols.defaultAssociations changed, updating to true
[INFO 00:35:23] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 00:35:23] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 00:35:23] 🤖 symbols.files.associations changed, updating to undefined
[INFO 00:35:23] 🤖 symbols.defaultAssociations changed, updating to true
[INFO 00:35:23] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 00:35:23] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 00:35:23] 🤖 symbols.files.associations changed, updating to undefined
[INFO 00:36:09] 🤖 symbols.defaultAssociations changed, updating to true
[INFO 00:36:09] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 00:36:09] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 00:36:09] 🤖 symbols.files.associations changed, updating to undefined
